measurement.ID,sites.sitename,plot.name,stand.age,dominant.life.form,dominant.veg,scientific.name,veg.notes,variable.name,date,date.loc,start.date,start.date.loc,end.date,end.date.loc,mean,original.units,mean.in.original.units,C.conversion.factor,n,sd,se,lower95CI,upper95CI,area.sampled,notes,method.ID,allometry_1,allometry_2,min.dbh,depth,covariate_1,coV_1.value,covariate_2,coV_2.value,conflicts,R.group,S.group,D.group,D.precedence,conflict.type,D.precedence.measurement.ID,conflicts.notes,citation.ID,loaded.from,data.location.within.source,source.notes,measurement.ID.v1,loaded.by,checked.ori.pub,ForC.investigator,required.citations,flag.suspicious
1,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,woody,2TEB,NA,NAC,deadwood_OM,NI,9,NI,9,NI,9,7.1,NAC,NAC,NA,16,NAC,NAC,NAC,NAC,NAC,NA,NAC,NAC,NA,2.54,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,Cifuentes-Jara_2008_abae,Bonner_2013_amgc,NAC,NA,16194,Maria M. H. Wang,1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
2,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,woody,2TEB,NA,NAC,biomass_ag_OM,NI,9,NI,9,NI,9,224.7,NAC,NAC,NA,NI,NI,NI,NI,NI,NAC,trees only,NAC,NAC,NA,0,NA,NA,NA,NA,NA,D,NA,NA,247,0,M,3,NA,Cifuentes-Jara_2008_abae,Bonner_2013_amgc,NAC,NA,16302,Maria M. H. Wang,1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
3,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,woody,2TEB,NA,NAC,biomass_ag_OM,NI,9,NI,9,NI,9,233,NAC,NAC,NA,NI,NI,NI,NI,NI,NAC,palms+lianas+herbaceous+trees,NAC,NAC,NA,0,NA,NA,NA,NA,NA,D,NA,NA,247,1,M,3,NA,Cifuentes-Jara_2008_abae,Bonner_2013_amgc,NAC,NA,16356,Maria M. H. Wang,1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
4,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,woody,2TEB,NA,NAC,biomass_root_C,NI,9,NI,9,NI,9,24.5,NAC,NAC,NAC,NI,NI,NI,NI,NI,NAC,assuming roots have 49% C content,NAC,30,NA,NAC,NAC,NAC,NAC,NA,NA,D,NA,NA,2768,0,C;M,48436,NA,Cifuentes-Jara_2008_abae,Bonner_2013_amgc,NAC,NA,16410,Maria M. H. Wang,1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,woody,2TEB,NA,NAC,soil_C,NI,9,NI,9,NI,9,31.7,NAC,NAC,NA,5,NAC,31.7,NAC,NAC,NAC,NA,NAC,NA,NA,NA,10,NA,NA,NA,NA,D,NA,NA,1180,0,M,9,NA,Cifuentes-Jara_2008_abae,Bonner_2013_amgc,NAC,NA,16464,Maria M. H. Wang,1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,woody,2TEB,NA,NAC,soil_C,NI,9,NI,9,NI,9,61.1,NAC,NAC,NA,10,NAC,2.5,NAC,NAC,NAC,NA,NAC,NA,NA,NA,20,NA,NA,NA,NA,D,NA,NA,1180,0,M,9,NA,Cifuentes-Jara_2008_abae,Bonner_2013_amgc,NAC,NA,16518,Maria M. H. Wang,1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
7,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,woody,2TEB,NA,NAC,soil_C,NI,9,NI,9,NI,9,84.3,NAC,NAC,NA,15,NAC,3.3,NAC,NAC,NAC,NA,NAC,NA,NA,NA,30,NA,NA,NA,NA,D,NA,NA,1180,0,M,9,NA,Cifuentes-Jara_2008_abae,Bonner_2013_amgc,NAC,NA,16572,Maria M. H. Wang,1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
8,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,woody,2TEB,NA,NAC,soil_C,NI,9,NI,9,NI,9,116,NAC,NAC,NA,20,NAC,5.5,NAC,NAC,NAC,NA,NAC,NA,NA,NA,50,NA,NA,NA,NA,D,NA,NA,1180,0,M,9,NA,Cifuentes-Jara_2008_abae,Bonner_2013_amgc,NAC,NA,16625,Maria M. H. Wang,1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
9,4 Rios,Tropical Wet Forest recovery following pasture abandonment,29,woody,2TEB,NA,NAC,soil_C,NI,9,NI,9,NI,9,170.1,NAC,NAC,NA,25,NAC,8.3,NAC,NAC,NAC,NA,NAC,NA,NA,NA,100,NA,NA,NA,NA,D,NA,NA,1180,1,M,9,NA,Cifuentes-Jara_2008_abae,Bonner_2013_amgc,NAC,NA,16674,Maria M. H. Wang,1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
10,Aakre,Forest recovery following agricultural abandonment,60,woody,2TDB,NA,NAC,biomass_ag_OM,2009.580822,6,NA,9,NA,9,186.7,NAC,NAC,NA,1,NAC,NAC,NAC,NAC,NAC,All plants (no min.dbh).,NAC,NAC,NA,0,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,Uri_2012_bpac,NA,NAC,NA,NA,"Markku Larjavaara, Jennifer C. McGarvey",1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
